InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
544205,47566,PARTY BUNTING,2,2010-02-17 14:01:00,5.73,13660.0,United Kingdom
539596,20727,LUNCH BAG  BLACK SKULL,11,2010-12-31 09:58:00,4.31,17332.0,United Kingdom
540643,22551,PLASTERS IN TIN WOODLAND ANIMALS,27,2011-07-24 12:06:00,2.94,16932.0,United Kingdom
540779,22632,HAND WARMER RED POLKA DOT,27,2010-11-18 13:56:00,3.36,15817.0,United Kingdom
537193,21212,PACK OF 72 RETROSPOT CAKE CASES,9,2010-12-18 17:25:00,1.39,14382.0,United Kingdom
549403,84029E,RED WOOLLY HOTTIE WHITE HEART,10,2010-07-28 09:01:00,6.7,14282.0,United Kingdom
545566,22470,HEART OF WICKER LARGE,3,2010-03-05 16:09:00,4.51,15740.0,United Kingdom
545925,71053,WHITE METAL LANTERN,9,2010-12-29 13:02:00,6.46,16616.0,United Kingdom
553755,85123B,IVORY HANGING HEART T-LIGHT HOLDER,22,2011-01-15 09:03:00,2.93,,United Kingdom
545661,22386,JUMBO BAG PINK POLKADOT,7,2010-03-20 17:03:00,4.09,15029.0,United Kingdom
545027,47566,PARTY BUNTING,7,2011-11-30 16:01:00,7.28,12757.0,United Kingdom
542023,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-10-24 17:30:00,4.22,13618.0,United Kingdom
540376,POST,POSTAGE,6,2010-09-29 09:07:00,3.4,12540.0,Denmark
540724,23343,JUMBO BAG OWLS,2,2011-10-01 15:23:00,4.27,13732.0,United Kingdom
540222,POST,,6,2010-01-14 18:36:00,2.81,14469.0,United Kingdom
545160,22469,HEART OF WICKER SMALL,5,2011-01-30 14:03:00,3.7,,United Kingdom
547098,23166,MEDIUM CERAMIC TOP STORAGE JAR,15,2010-01-14 16:23:00,5.48,17320.0,United Kingdom
556751,22469,HEART OF WICKER SMALL,4,2010-12-16 14:14:00,5.79,19491.0,EIRE
545474,M,Manual,3,2010-01-29 15:36:00,13.36,16306.0,United Kingdom
548244,M,Manual,51,2011-02-16 10:49:00,32.76,13225.0,Sweden
555756,21212,PACK OF 72 RETROSPOT CAKE CASES,6,2010-12-08 14:59:00,0.93,15582.0,United Kingdom
554361,47566,PARTY BUNTING,4,2011-12-13 13:22:00,5.04,14490.0,United Kingdom
547576,22554,PLASTERS IN TIN SKULLS,2,2011-02-23 12:21:00,4.01,18349.0,Germany
547411,20727,LUNCH BAG  BLACK SKULL,23,2010-01-08 09:56:00,2.09,15407.0,Australia
557033,47566B,TEA TIME PARTY BUNTING,18,2011-12-17 18:38:00,6.37,18915.0,EIRE
552817,47566B,TEA TIME PARTY BUNTING,5,2010-04-03 18:37:00,8.84,,United Kingdom
557741,22752,SET 7 BABUSHKA NESTING BOXES,10,2010-05-30 16:28:00,12.19,18033.0,United Kingdom
541946,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-03-02 18:50:00,12.15,13539.0,United Kingdom
536986,22470,HEART OF WICKER LARGE,5,2010-01-03 15:03:00,4.61,18993.0,United Kingdom
550735,47566,PARTY BUNTING,2,2010-11-30 11:21:00,6.66,16315.0,United Kingdom
557086,47566,PARTY BUNTING,7,2010-08-05 14:25:00,6.43,19358.0,Germany
554894,22469,HEART OF WICKER SMALL,3,2010-02-06 18:14:00,3.71,13299.0,United Kingdom
554566,84029E,RED WOOLLY HOTTIE WHITE HEART,18,2010-11-23 09:56:00,4.76,15902.0,United Kingdom
C546050,22554,PLASTERS IN TIN SKULLS,-9,2011-01-16 17:55:00,3.06,15574.0,United Kingdom
C557232,22632,HAND WARMER RED POLKA DOT,-3,2011-09-13 17:35:00,4.72,14848.0,United Kingdom
544794,22423,REGENCY CAKESTAND 3 TIER,23,2010-11-01 09:41:00,18.76,20004.0,Netherlands
554290,22423,REGENCY CAKESTAND 3 TIER,9,2011-08-12 09:53:00,18.69,18185.0,United Kingdom
536789,21977,PACK OF 60 DINOSAUR CAKE CASES,8,2011-08-23 16:00:00,0.51,18157.0,United Kingdom
542958,22752,SET 7 BABUSHKA NESTING BOXES,25,2011-07-05 16:06:00,11.04,14520.0,Netherlands
551808,21212,PACK OF 72 RETROSPOT CAKE CASES,4,2010-01-06 15:13:00,1.13,16546.0,United Kingdom
541022,84029E,RED WOOLLY HOTTIE WHITE HEART,13,2011-12-23 15:33:00,3.66,16125.0,United Kingdom
548829,22423,REGENCY CAKESTAND 3 TIER,6,2011-05-14 16:10:00,24.2,17727.0,United Kingdom
543215,71053,WHITE METAL LANTERN,6,2010-01-11 16:32:00,5.8,15844.0,United Kingdom
550894,22551,PLASTERS IN TIN WOODLAND ANIMALS,3,2010-01-21 14:41:00,4.02,19043.0,United Kingdom
545772,71053,WHITE METAL LANTERN,3,2010-02-22 13:52:00,5.74,19055.0,United Kingdom
554992,21212,PACK OF 72 RETROSPOT CAKE CASES,13,2010-02-25 09:59:00,0.78,12459.0,United Kingdom
546556,22554,,19,2011-11-24 17:34:00,1.89,18881.0,United Kingdom
544883,20727,LUNCH BAG  BLACK SKULL,27,2010-06-20 13:18:00,4.06,16570.0,United Kingdom
554806,22557,PLASTERS IN TIN CIRCUS PARADE,3,2010-10-07 16:38:00,3.43,12918.0,United Kingdom
558037,22632,HAND WARMER RED POLKA DOT,10,2011-12-28 17:27:00,4.22,12640.0,Netherlands
553760,22469,HEART OF WICKER SMALL,14,2011-11-26 11:11:00,2.22,13539.0,United Kingdom
553145,22469,HEART OF WICKER SMALL,2,2011-08-31 17:25:00,3.32,13206.0,United Kingdom
547621,22554B,PLASTERS IN TIN VINTAGE STAR,34,2011-07-23 13:29:00,3.66,12548.0,United Kingdom
552738,22470,HEART OF WICKER LARGE,19,2010-12-24 12:28:00,7.07,19940.0,United Kingdom
540178,POST,POSTAGE,9,2011-09-02 10:40:00,4.45,19753.0,United Kingdom
556195,22557,PLASTERS IN TIN CIRCUS PARADE,15,2010-02-28 14:47:00,3.92,14225.0,United Kingdom
537549,20727,LUNCH BAG  BLACK SKULL,9,2011-05-22 09:38:00,2.24,19283.0,United Kingdom
558341,21232,STRAWBERRY CERAMIC TRINKET BOX,27,2011-08-25 14:45:00,4.01,15547.0,United Kingdom
554063,23343,JUMBO BAG OWLS,13,2011-12-24 15:08:00,2.6,14674.0,EIRE
551543,22423,REGENCY CAKESTAND 3 TIER,40,2010-05-14 11:29:00,23.24,14360.0,United Kingdom
546414,POST,POSTAGE,1,2010-12-08 09:46:00,3.0,14872.0,United Kingdom
552931,22423,REGENCY CAKESTAND 3 TIER,2,2010-04-26 13:44:00,21.1,14551.0,United Kingdom
553422,21212,PACK OF 72 RETROSPOT CAKE CASES,16,2010-01-08 12:20:00,1.58,18274.0,United Kingdom
546070,85123B,IVORY HANGING HEART T-LIGHT HOLDER,6,2010-07-01 11:47:00,2.04,14539.0,United Kingdom
551693,22557,PLASTERS IN TIN CIRCUS PARADE,10,2010-12-17 12:05:00,3.68,14509.0,United Kingdom
542403,22423,REGENCY CAKESTAND 3 TIER,6,2011-11-14 12:25:00,17.71,18618.0,United Kingdom
552253,20727,LUNCH BAG  BLACK SKULL,4,2011-12-19 14:33:00,3.45,14794.0,United Kingdom
538672,22633,HAND WARMER UNION JACK,8,2011-11-16 15:44:00,4.76,14095.0,United Kingdom
545028,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-03-02 14:00:00,3.64,18770.0,United Kingdom
544554,21977,PACK OF 60 DINOSAUR CAKE CASES,8,2011-12-15 16:31:00,0.84,15111.0,Netherlands
C544663,23166,MEDIUM CERAMIC TOP STORAGE JAR,-9,2011-09-15 10:16:00,2.73,18229.0,United Kingdom
556417,85123B,IVORY HANGING HEART T-LIGHT HOLDER,4,2011-12-09 12:58:00,2.0,14539.0,United Kingdom
558106,85099C,JUMBO  BAG BAROQUE BLACK WHITE,83,2010-10-03 14:30:00,2.49,14066.0,United Kingdom
555972,85123A,WHITE HANGING HEART T-LIGHT HOLDER,60,2011-09-18 12:39:00,2.58,18225.0,United Kingdom
553567,22557,PLASTERS IN TIN CIRCUS PARADE,9,2010-10-31 16:21:00,2.52,12899.0,United Kingdom
551677,22752,SET 7 BABUSHKA NESTING BOXES,8,2011-11-16 11:44:00,14.41,16621.0,United Kingdom
543074,47566B,TEA TIME PARTY BUNTING,55,2011-03-11 10:37:00,5.44,18475.0,United Kingdom
544305,22632,HAND WARMER RED POLKA DOT,9,2010-01-06 11:00:00,4.22,14840.0,EIRE
548821,22423,REGENCY CAKESTAND 3 TIER,24,2010-11-09 16:03:00,21.0,14636.0,United Kingdom
551411,M,Manual,1,2011-05-25 10:45:00,41.18,14824.0,United Kingdom
549687,85099C,JUMBO  BAG BAROQUE BLACK WHITE,1,2011-11-09 14:08:00,4.65,,United Kingdom
537406,22557,PLASTERS IN TIN CIRCUS PARADE,2,2010-12-27 18:22:00,3.32,12379.0,United Kingdom
556661,21232,STRAWBERRY CERAMIC TRINKET BOX,8,2010-03-13 18:39:00,3.04,13317.0,United Kingdom
539947,85099B,JUMBO BAG RED RETROSPOT,31,2010-12-24 17:29:00,5.09,17513.0,Germany
554874,21232,STRAWBERRY CERAMIC TRINKET BOX,5,2011-08-28 11:43:00,3.37,19558.0,United Kingdom
539016,85099B,JUMBO BAG RED RETROSPOT,4,2011-09-01 16:45:00,3.51,15559.0,United Kingdom
544891,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-06-18 11:08:00,3.21,13802.0,United Kingdom
554729,85099B,JUMBO BAG RED RETROSPOT,8,2010-04-15 17:25:00,2.96,14555.0,United Kingdom
550049,22469,HEART OF WICKER SMALL,3,2011-02-20 18:42:00,2.68,14679.0,United Kingdom
541234,85099C,JUMBO  BAG BAROQUE BLACK WHITE,2,2011-04-27 15:23:00,3.6,17770.0,United Kingdom
555729,71053,WHITE METAL LANTERN,5,2010-11-28 14:46:00,5.77,18219.0,United Kingdom
551329,84029E,RED WOOLLY HOTTIE WHITE HEART,8,2011-01-12 15:49:00,3.57,16474.0,United Kingdom
548960,22551,PLASTERS IN TIN WOODLAND ANIMALS,8,2010-12-17 17:56:00,3.77,18038.0,United Kingdom
557334,22632,HAND WARMER RED POLKA DOT,19,2010-03-09 17:05:00,3.99,14594.0,United Kingdom
544594,22469,,50,2010-12-11 15:50:00,5.23,18973.0,Sweden
556794,21232,STRAWBERRY CERAMIC TRINKET BOX,10,2011-01-04 14:56:00,4.82,12885.0,United Kingdom
547914,84406B,CREAM CUPID HEARTS COAT HANGER,26,2011-12-09 15:12:00,3.54,,United Kingdom
556623,22423,REGENCY CAKESTAND 3 TIER,25,2010-02-15 18:57:00,18.39,15632.0,United Kingdom
555730,POST,POSTAGE,16,2010-10-30 15:03:00,3.16,20002.0,France
544247,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,2010-06-16 09:48:00,2.05,14781.0,United Kingdom
546158,21232,STRAWBERRY CERAMIC TRINKET BOX,5,2010-10-27 12:21:00,3.37,13827.0,United Kingdom
537259,22551,PLASTERS IN TIN WOODLAND ANIMALS,7,2010-12-09 13:39:00,4.25,12567.0,United Kingdom
552219,21212,PACK OF 72 RETROSPOT CAKE CASES,4,2010-08-26 14:52:00,1.37,14930.0,United Kingdom
541548,22632,HAND WARMER RED POLKA DOT,5,2011-11-17 09:16:00,2.03,18679.0,United Kingdom
557064,21232,STRAWBERRY CERAMIC TRINKET BOX,10,2011-09-19 14:19:00,4.92,19291.0,United Kingdom
557409,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2011-01-06 16:17:00,4.56,14429.0,United Kingdom
539922,20727,LUNCH BAG  BLACK SKULL,11,2011-05-29 11:41:00,2.66,17411.0,United Kingdom
551860,21232,STRAWBERRY CERAMIC TRINKET BOX,4,2011-11-13 09:55:00,4.83,18759.0,United Kingdom
540306,85099C,JUMBO  BAG BAROQUE BLACK WHITE,12,2011-03-06 13:49:00,2.68,17230.0,United Kingdom
540075,22554,PLASTERS IN TIN SKULLS,25,2011-12-21 15:15:00,3.6,16238.0,United Kingdom
543649,22633,HAND WARMER UNION JACK,9,2011-02-07 10:17:00,2.53,13351.0,Germany
556516,71053,WHITE METAL LANTERN,3,2010-06-30 17:59:00,3.82,13690.0,United Kingdom
537286,20727,LUNCH BAG  BLACK SKULL,6,2010-06-17 14:23:00,2.76,17729.0,United Kingdom
548673,20727,,3,2011-11-11 12:41:00,2.64,17362.0,United Kingdom
C550356,23343,JUMBO BAG OWLS,-21,2010-07-24 18:25:00,3.99,18867.0,United Kingdom
549734,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-12-29 10:40:00,2.55,18324.0,Germany
538794,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,10,2011-09-20 18:46:00,3.86,17606.0,United Kingdom
554259,23166,MEDIUM CERAMIC TOP STORAGE JAR,11,2011-11-08 13:19:00,2.92,15515.0,United Kingdom
548644,22551,PLASTERS IN TIN WOODLAND ANIMALS,6,2011-04-03 13:45:00,3.19,15664.0,United Kingdom
544939,85099B,JUMBO BAG RED RETROSPOT,8,2010-10-06 15:57:00,4.06,,United Kingdom
552668,22469,HEART OF WICKER SMALL,9,2010-01-07 12:20:00,3.22,15720.0,United Kingdom
553135,21977,PACK OF 60 DINOSAUR CAKE CASES,8,2010-05-15 14:39:00,1.61,18612.0,Belgium
552427,21730,GLASS STAR FROSTED T-LIGHT HOLDER,22,2010-04-23 11:59:00,2.33,16251.0,EIRE
558004,22557,PLASTERS IN TIN CIRCUS PARADE,1,2011-02-21 14:16:00,2.69,13030.0,United Kingdom
555629,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,22,2011-12-13 09:32:00,4.58,13119.0,United Kingdom
552000,22557,PLASTERS IN TIN CIRCUS PARADE,6,2010-11-16 16:04:00,3.85,15849.0,United Kingdom
555492,71053,WHITE METAL LANTERN,8,2011-08-26 15:26:00,4.3,19391.0,United Kingdom
536502,85123B,IVORY HANGING HEART T-LIGHT HOLDER,5,2010-03-10 17:28:00,3.4,18642.0,United Kingdom
549334,85099B,JUMBO BAG RED RETROSPOT,4,2010-05-20 12:06:00,3.55,13335.0,United Kingdom
547514,85099B,JUMBO BAG RED RETROSPOT,8,2010-09-01 11:58:00,3.21,18703.0,United Kingdom
558011,22752,SET 7 BABUSHKA NESTING BOXES,12,2010-12-27 15:43:00,10.47,17302.0,United Kingdom
C538395,21977,PACK OF 60 DINOSAUR CAKE CASES,-14,2011-01-03 14:59:00,0.66,18221.0,United Kingdom
540388,22554,PLASTERS IN TIN SKULLS,4,2010-12-05 16:23:00,1.71,12527.0,United Kingdom
556556,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-11-14 10:52:00,6.23,17984.0,United Kingdom
552875,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,36,2011-12-18 15:27:00,7.49,14805.0,United Kingdom
536632,22469,HEART OF WICKER SMALL,13,2010-07-26 16:39:00,2.27,16434.0,United Kingdom
545361,23343,JUMBO BAG OWLS,12,2010-05-26 09:22:00,37.61,15764.0,Netherlands
552180,20727,LUNCH BAG  BLACK SKULL,15,2010-11-17 14:12:00,1.72,14327.0,United Kingdom
547549,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-11-20 18:00:00,3.65,19093.0,United Kingdom
543835,21232,STRAWBERRY CERAMIC TRINKET BOX,10,2011-12-15 16:46:00,2.63,15538.0,United Kingdom
547435,22554,PLASTERS IN TIN SKULLS,2,2010-01-10 18:55:00,3.51,17678.0,Netherlands
549318,47566B,TEA TIME PARTY BUNTING,6,2010-04-25 15:48:00,6.07,13016.0,EIRE
551642,POST,POSTAGE,1,2011-10-16 13:37:00,1.83,12515.0,Denmark
555443,84029E,RED WOOLLY HOTTIE WHITE HEART,13,2010-11-09 16:05:00,7.01,13994.0,France
548296,21232,STRAWBERRY CERAMIC TRINKET BOX,4,2010-12-12 12:00:00,2.38,14072.0,United Kingdom
545167,47566B,TEA TIME PARTY BUNTING,3,2010-02-26 16:31:00,7.27,15379.0,United Kingdom
551852,23343,JUMBO BAG OWLS,6,2011-11-14 09:41:00,5.24,13513.0,United Kingdom
544609,21212,PACK OF 72 RETROSPOT CAKE CASES,17,2011-12-06 18:19:00,0.99,12611.0,United Kingdom
557683,22632,HAND WARMER RED POLKA DOT,3,2010-02-08 09:35:00,3.78,18942.0,United Kingdom
C547546,22557,PLASTERS IN TIN CIRCUS PARADE,-13,2010-04-20 17:52:00,3.42,17256.0,Spain
546769,22554,PLASTERS IN TIN SKULLS,15,2010-06-16 15:40:00,2.26,13603.0,United Kingdom
548742,22470,HEART OF WICKER LARGE,1,2010-02-19 11:25:00,6.89,16335.0,France
